Dominican Republic,5.2736235,4.4167767,-16.247781056042403
Bahamas,3.4699466,2.9079888,-16.194998505164317
Iceland,12.933016,10.845418,-16.141617701547727
Monaco,15.009056,12.629022,-15.85731974082846
Cambodia,5.9436073,5.0361876,-15.267154342447897
Angola,17.135916,14.541151,-15.142260267849132
Guyana,30.973354,26.403877,-14.752929243633089
Colombia,5.5131655,4.709996,-14.56820949779215
Micronesia (country),24.602734,21.032232,-14.512622865410002
Turkey,3.0108612,2.5761416,-14.438380620136185
North Korea,8.889313,7.611078,-14.379457670125909
Senegal,12.567274,10.829882,-13.824732396222123
Kiribati,21.500952,18.727057,-12.901265953247107
Niue,18.086535,15.806572,-12.605858446628954
Dominica,3.971515,3.5064936,-11.708917126084124
Nepal,12.504714,11.085525,-11.349231977636588
Sao Tome and Principe,1.4131135,1.2548128,-11.202263653981074
Vanuatu,20.332489,18.088873,-11.034635257887018
New Zealand,12.428954,11.083186,-10.827685097233442
Kenya,9.951299,8.87459,-10.819783427269153
Madagascar,11.182348,10.034482,-10.264981916141394
Burkina Faso,17.124626,15.367602,-10.260218237758883
El Salvador,8.728186,7.8547716,-10.006826160670734
Tonga,6.013135,5.466819,-9.085377261611455
Nigeria,9.6733,8.856393,-8.444967074317955
Malta,6.035389,5.5582776,-7.9052303008140825
Suriname,24.215446,22.418344,-7.421304567341022
Somalia,16.549173,15.333117,-7.348137577630013
Cape Verde,17.451508,16.172798,-7.327217796880363
Gambia,8.938106,8.291912,-7.22965245657189
East Timor,4.4425883,4.1574974,-6.417225291841699
Tanzania,9.832426,9.226781,-6.159670054979301
Spain,6.557302,6.1967764,-5.498078325506434
Papua New Guinea,2.2527523,2.147306,-4.680776488387121
Zambia,13.756504,13.12222,-4.610793556269814
Norway,11.878062,11.4185505,-3.868573004586098
Chad,11.035173,10.688322,-3.1431405742347756
Mauritania,5.010436,4.8812833,-2.577673879079596
Benin,12.118176,11.8260145,-2.4109362663159923
Sweden,11.9801655,11.742835,-1.9810285592465358
Australia,11.911708,11.739209,-1.448146646979595
Malaysia,5.5988927,5.534715,-1.1462570089975133
Malawi,13.947284,14.160264,1.527035657981869
Togo,14.932487,15.163547,1.547364481214679
Vietnam,6.927767,7.072024,2.082301555465125
Samoa,14.047995,14.393077,2.4564501909347185
Cote d'Ivoire,12.192446,12.6387615,3.660590336016243
Libya,4.86185,5.086109,4.61262688071415
Mongolia,18.787613,19.67215,4.70808612036025
Solomon Islands,21.31803,22.35394,4.859313923472296
Liberia,9.029307,9.5855665,6.160600143510473
Mali,7.747627,8.33286,7.55370644456684
Cameroon,12.775762,13.88818,8.707253626045945
Democratic Republic of Congo,14.225427,15.759959,10.787247370500728
Netherlands,8.067557,9.138888,13.27949712657746
United Kingdom,7.7332172,8.786779,13.623848558139539
Niger,7.683532,8.838728,15.034700187361752
Djibouti,8.712512,10.130213,16.27201202133207
Costa Rica,6.5121927,7.6267567,17.115034080610048
